Ventilador Torre Mondial,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/ventilador-torre,https://afiliado.com/ventilador,pending,,
Furadeira Parafusadeira,pt-BR,ferramentas,review,https://lista.mercadolivre.com.br/furadeira-parafusadeira,https://afiliado.com/furadeira,pending,,
Mouse Gamer Redragon Cobra,pt-BR,gamer,review,https://lista.mercadolivre.com.br/mouse-gamer-redragon,https://afiliado.com/mouse,pending,,
Jogo FIFA 24 PS5,pt-BR,games,review,https://lista.mercadolivre.com.br/fifa-24-ps5,https://afiliado.com/fifa24,pending,,
Nintendo Switch OLED,pt-BR,games,review,https://lista.mercadolivre.com.br/nintendo-switch-oled,https://afiliado.com/nintendo,pending,,
Teclado Mecânico Redragon,pt-BR,gamer,review,https://lista.mercadolivre.com.br/teclado-mecanico,https://afiliado.com/teclado,pending,,
SSD NVMe 1TB Kingston,pt-BR,computadores,review,https://lista.mercadolivre.com.br/ssd-nvme-1tb,https://afiliado.com/ssd,pending,,
Webcam Logitech C920 HD,pt-BR,tecnologia,review,https://lista.mercadolivre.com.br/webcam-logitech,https://afiliado.com/webcam,pending,,
Fonte 600W 80 Plus Bronze,pt-BR,gamer,review,https://lista.mercadolivre.com.br/fonte-600w,https://afiliado.com/fonte,pending,,
Cortador Grama Elétrico,pt-BR,jardinagem,review,https://lista.mercadolivre.com.br/cortador-grama,https://afiliado.com/cortador,pending,,
Máquina Costura Singer,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/maquina-costura,https://afiliado.com/costura,pending,,
Xiaomi Redmi Note 13,pt-BR,smartphones,review,https://lista.mercadolivre.com.br/redmi-note-13,https://afiliado.com/redmi,pending,,
Cooktop Indução 4 Bocas,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/cooktop-inducao,https://afiliado.com/cooktop,pending,,
Umidificador Ar Ultrassônico,pt-BR,saude,review,https://lista.mercadolivre.com.br/umidificador-ar,https://afiliado.com/umidificador,pending,,
Forno Elétrico Portátil,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/forno-eletrico,https://afiliado.com/forno,pending,,
GTA V PlayStation 5,pt-BR,games,review,https://lista.mercadolivre.com.br/gta-v-ps5,https://afiliado.com/gtav,pending,,
Faqueiro Inox 24 Peças,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/faqueiro-inox,https://afiliado.com/faqueiro,pending,,
Jogo Panelas Antiaderente,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/jogo-panelas,https://afiliado.com/panelas,pending,,
