produto,idioma,categoria,tipo_artigo,site_oficial,links_afiliados,status,data_publicacao,url_publicada
Purificador de Água LG,pt-BR,saude,review,https://lista.mercadolivre.com.br/purificador-agua-lg,https://afiliado.com/purificador,completed,2025-12-21,saude/purificador-de-agua-lg
Power Bank 20000mAh,pt-BR,acessorios,review,https://lista.mercadolivre.com.br/power-bank-20000mah,https://afiliado.com/powerbank,completed,2025-12-21,acessorios/power-bank-20000mah
Tablet Samsung Galaxy Tab,pt-BR,tecnologia,review,https://lista.mercadolivre.com.br/tablet-samsung,https://afiliado.com/tablet,completed,2025-12-21,tecnologia/tablet-samsung-galaxy-tab
Kit Ferramentas 100 Peças,pt-BR,ferramentas,review,https://lista.mercadolivre.com.br/kit-ferramentas,https://afiliado.com/ferramentas,completed,2025-12-21,ferramentas/kit-ferramentas-100-pecas
Micro-ondas Panasonic 31L,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/microondas-panasonic,https://afiliado.com/microondas,completed,2025-12-21,eletrodomesticos/micro-ondas-panasonic-31l
Máquina Lavar Consul 12kg,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/maquina-lavar-consul,https://afiliado.com/maquinalavar,completed,2025-12-21,eletrodomesticos/maquina-lavar-consul-12kg
Headset Gamer Redragon Zeus,pt-BR,gamer,review,https://lista.mercadolivre.com.br/headset-redragon,https://afiliado.com/headset,completed,2025-12-21,gamer/headset-gamer-redragon-zeus
Caixa de Som JBL Charge 5,pt-BR,audio,review,https://lista.mercadolivre.com.br/jbl-charge-5,https://afiliado.com/jblcharge,completed,2025-12-21,audio/caixa-de-som-jbl-charge-5
Bicicleta Ergométrica Kikos,pt-BR,fitness,review,https://lista.mercadolivre.com.br/bicicleta-ergometrica,https://afiliado.com/bicicleta,completed,2025-12-21,fitness/bicicleta-ergometrica-kikos
Churrasqueira Elétrica Mondial,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/churrasqueira-eletrica,https://afiliado.com/churrasqueira,completed,2025-12-21,utilidades/churrasqueira-eletrica-mondial
Vitamina D3 + K2 60 Cápsulas,pt-BR,saude,review,https://lista.mercadolivre.com.br/vitamina-d3-k2,https://afiliado.com/vitaminad,completed,2025-12-21,saude/vitamina-d3-k2-60-capsulas
Ômega 3 1000mg 120 Cápsulas,pt-BR,saude,review,https://lista.mercadolivre.com.br/omega-3-1000mg,https://afiliado.com/omega3,completed,2025-12-21,saude/omega-3-1000mg-120-capsulas
Processador Intel Core i5,pt-BR,computadores,review,https://lista.mercadolivre.com.br/processador-i5,https://afiliado.com/processador,completed,2025-12-21,computadores/processador-intel-core-i5
Placa de Vídeo RTX 3060,pt-BR,gamer,review,https://lista.mercadolivre.com.br/rtx-3060,https://afiliado.com/rtx3060,completed,2025-12-21,gamer/placa-de-video-rtx-3060
Controle PS5 DualSense,pt-BR,games,review,https://lista.mercadolivre.com.br/controle-ps5,https://afiliado.com/controleps5,completed,2025-12-21,games/controle-ps5-dualsense
Fogão 4 Bocas Atlas,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/fogao-4-bocas,https://afiliado.com/fogao,completed,2025-12-21,eletrodomesticos/fogao-4-bocas-atlas
Ventilador Torre Mondial,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/ventilador-torre,https://afiliado.com/ventilador,completed,2025-12-21,eletrodomesticos/ventilador-torre-mondial
Furadeira Parafusadeira,pt-BR,ferramentas,review,https://lista.mercadolivre.com.br/furadeira-parafusadeira,https://afiliado.com/furadeira,completed,2025-12-21,ferramentas/furadeira-parafusadeira
Mouse Gamer Redragon Cobra,pt-BR,gamer,review,https://lista.mercadolivre.com.br/mouse-gamer-redragon,https://afiliado.com/mouse,completed,2025-12-21,gamer/mouse-gamer-redragon-cobra
Jogo FIFA 24 PS5,pt-BR,games,review,https://lista.mercadolivre.com.br/fifa-24-ps5,https://afiliado.com/fifa24,completed,2025-12-21,games/jogo-fifa-24-ps5
Nintendo Switch OLED,pt-BR,games,review,https://lista.mercadolivre.com.br/nintendo-switch-oled,https://afiliado.com/nintendo,completed,2025-12-21,games/nintendo-switch-oled
Teclado Mecânico Redragon,pt-BR,gamer,review,https://lista.mercadolivre.com.br/teclado-mecanico,https://afiliado.com/teclado,completed,2025-12-21,gamer/teclado-mecanico-redragon
SSD NVMe 1TB Kingston,pt-BR,computadores,review,https://lista.mercadolivre.com.br/ssd-nvme-1tb,https://afiliado.com/ssd,completed,2025-12-21,computadores/ssd-nvme-1tb-kingston
Webcam Logitech C920 HD,pt-BR,tecnologia,review,https://lista.mercadolivre.com.br/webcam-logitech,https://afiliado.com/webcam,pending,,
Fonte 600W 80 Plus Bronze,pt-BR,gamer,review,https://lista.mercadolivre.com.br/fonte-600w,https://afiliado.com/fonte,pending,,
Cortador Grama Elétrico,pt-BR,jardinagem,review,https://lista.mercadolivre.com.br/cortador-grama,https://afiliado.com/cortador,pending,,
Máquina Costura Singer,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/maquina-costura,https://afiliado.com/costura,pending,,
Xiaomi Redmi Note 13,pt-BR,smartphones,review,https://lista.mercadolivre.com.br/redmi-note-13,https://afiliado.com/redmi,pending,,
Cooktop Indução 4 Bocas,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/cooktop-inducao,https://afiliado.com/cooktop,pending,,
Umidificador Ar Ultrassônico,pt-BR,saude,review,https://lista.mercadolivre.com.br/umidificador-ar,https://afiliado.com/umidificador,pending,,
Forno Elétrico Portátil,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/forno-eletrico,https://afiliado.com/forno,pending,,
GTA V PlayStation 5,pt-BR,games,review,https://lista.mercadolivre.com.br/gta-v-ps5,https://afiliado.com/gtav,pending,,
Faqueiro Inox 24 Peças,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/faqueiro-inox,https://afiliado.com/faqueiro,pending,,
Jogo Panelas Antiaderente,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/jogo-panelas,https://afiliado.com/panelas,pending,,
